Tag,Chromophore,Solvent,abs,emi,epsilon,fast_epsilon
694,F[B-]([N+]1=C2C=C(C3=CC=C(OC)C=C3)OC2=CC1=C4)(F)N5C4=CC(O6)=C5C=C6C7=CC=C(OC)C=C7,C(Cl)(Cl)Cl,673.0,683.0,4.89,2.091
695,F[B-]([N+]1=C2C=C(C3=CC=C(OC)C=C3)OC2=CC1=C4C(F)(F)F)(F)N5C4=CC(O6)=C5C=C6C7=CC=C(OC)C=C7,C(Cl)(Cl)Cl,723.0,738.0,4.89,2.091
696,F[B-]([N+]1=C2C=C(C3=CC=CC=C3)OC2=CC1=C4)(F)N5C4=CC(O6)=C5C=C6C7=CC=CC=C7,C(Cl)(Cl)Cl,652.0,661.0,4.89,2.091
697,F[B-]([N+]1=C2C=C(C3=C(OC)C=CC=C3)OC2=CC1=C4)(F)N5C4=CC(O6)=C5C=C6C7=CC=CC=C7OC,C(Cl)(Cl)Cl,671.0,680.0,4.89,2.091
698,F[B-]([N+]1=C2C=C(C3=CC=C(C(C)C)C=C3)OC2=CC1=C4)(F)N5C4=CC(O6)=C5C=C6C7=CC=C(C(C)C)C=C7,C(Cl)(Cl)Cl,662.0,671.0,4.89,2.091
699,F[B-]([N+]1=C2C=C(C3=C(C(C)C)C=CC=C3)OC2=CC1=C4)(F)N5C4=CC(O6)=C5C=C6C7=CC=CC=C7C(C)C,C(Cl)(Cl)Cl,629.0,655.0,4.89,2.091
700,F[B-]([N+]1=C2C=C(C3=C(OC)C=CC(OC)=C3)OC2=CC1=C4)(F)N5C4=CC(O6)=C5C=C6C7=CC(OC)=CC=C7OC,C(Cl)(Cl)Cl,679.0,689.0,4.89,2.091
701,F[B-]([N+]1=C2C=C(C3=C(OC)C=C(OC)C=C3)OC2=CC1=C4)(F)N5C4=CC(O6)=C5C=C6C7=CC=C(OC)C=C7OC,C(Cl)(Cl)Cl,690.0,701.0,4.89,2.091
702,F[B-]([N+]1=C2C=C(C)OC2=CC1=C3)(F)N4C3=C(C)C=C4C,C(Cl)(Cl)Cl,542.0,549.0,4.89,2.091
703,CC1=CC2=C(O1)C=C3N2[B-](F)(F)[N+]4=C5C=C(C6=CC=CC=C6)OC5=CC4=C3,C(Cl)(Cl)Cl,614.0,620.0,4.89,2.091
704,F[B-]([N+]1=C2C=C(C3=C(OC)C=C(OC)C=C3)OC2=CC1=C4)(F)N5C4=C(C)C=C5C,C(Cl)(Cl)Cl,596.0,605.0,4.89,2.091
705,CC1=CC2=C(O1)C=C3N2[B-](F)(F)[N+]4=C5C=C(C6=CC=CC=C6)OC5=CC4=C3,C(Cl)(Cl)Cl,634.0,644.0,4.89,2.091
706,O=C1N(CCCNC(OC(C)(C)C)=O)CC2=C1N3C=CC(C(C)=O)=CC3=C2C4=CC=C(N)C=C4,CO,419.0,546.0,33.6,1.764
707,O=C1N(CCCNC(OC(C)(C)C)=O)CC2=C1N3C=CC(C(C)=O)=CC3=C2C4=CC=C(N)C=C4,CO,413.0,572.0,33.6,1.764
708,O=C1N(CCCNC(OC(C)(C)C)=O)CC2=C1N3C=CC(C(C)=O)=CC3=C2C4=CC=C(OC)C=C4,CO,412.0,555.0,33.6,1.764
709,O=C1N(CCCNC(OC(C)(C)C)=O)CC2=C1N3C=CC(C(C)=O)=CC3=C2C4=CC=C(C)C=C4,CO,404.0,534.0,33.6,1.764
710,O=C1N(CCCNC(OC(C)(C)C)=O)CC2=C1N3C=CC(C(C)=O)=CC3=C2C4=CC=C([H])C=C4,CO,403.0,523.0,33.6,1.764
711,O=C1N(CCCNC(OC(C)(C)C)=O)CC2=C1N3C=CC(C(C)=O)=CC3=C2C4=CC=C(F)C=C4,CO,402.0,525.0,33.6,1.764
712,O=C1N(CCCNC(OC(C)(C)C)=O)CC2=C1N3C=CC(C(C)=O)=CC3=C2C4=CC=C(C(F)(F)F)C=C4,CO,405.0,514.0,33.6,1.764
713,O=C1N(CCCNC(OC(C)(C)C)=O)CC2=C1N3C=CC(C(C)=O)=CC3=C2C4=CC=C(C#N)C=C4,CO,398.0,512.0,33.6,1.764
714,O=C1N(CCCNC(OC(C)(C)C)=O)CC2=C1N3C=CC(C(C)=O)=CC3=C2C4=CC(C#N)=C(C#N)C=C4,CO,402.0,500.0,33.6,1.764
715,CC1=CC=C(NCCC)C2=NC(C)(C)N=C21,CCO,564.0,650.0,25.0,1.852
716,CCCNC1=CC=C([N+]([O-])=O)C2=NNN=C12,CCO,420.0,460.0,25.0,1.852
717,CCCNC1=CC=C([N+]([O-])=O)C2=NSN=C12,CCO,476.0,548.0,25.0,1.852
718,CCCNC1=CC=C([N+]([O-])=O)C2=N[Se]N=C12,CCO,510.0,606.0,25.0,1.852
719,CCCNC1=CC=C([N+]([O-])=O)C2=NC3(CCCCC3)N=C12,CCO,546.0,650.0,25.0,1.852
720,CCCNC1=CC=C(C2=NON=C12)[N+]([O-])=O,CCO,486.0,542.0,25.0,1.852
721,CC1=CC(C2=CC=CC=C2)=[O+]C3=CC(N(C)C)=CC=C31,C(Cl)Cl,510.0,587.0,9.02,2.028
722,CN(C)C1=CC=C(C(/C=C2C3=CC=C(N(C)C)C=C3OC(C4=CC=CC=C4)=C\2)=CC(C5=CC=CC=C5)=[O+]6)C6=C1,C(Cl)Cl,650.0,684.0,9.02,2.028
723,CN(C)C1=CC=C(C(/C=C/C=C2C3=CC=C(N(C)C)C=C3OC(C4=CC=CC=C4)=C/2)=CC(C5=CC=CC=C5)=[O+]6)C6=C1,C(Cl)Cl,746.0,766.0,9.02,2.028
724,CN(C)C1=CC=C(C(/C=C/C=C/C=C2C3=CC=C(N(C)C)C=C3OC(C4=CC=CC=C4)=C/2)=CC(C5=CC=CC=C5)=[O+]6)C6=C1,C(Cl)Cl,862.0,908.0,9.02,2.028
725,CN(C)C1=CC=C(C(/C=C/C(CCC/2)=C(Cl)C2=C\C=C3C4=CC=C(N(C)C)C=C4OC(C5=CC=CC=C5)=C\3)=CC(C6=CC=CC=C6)=[O+]7)C7=C1,C(Cl)Cl,1026.0,1045.0,9.02,2.028
726,C12=CC=CC3=[N+]1C(C4=C3C=CC=C4)=C(C5=CC=CC=C5)O2,C(Cl)Cl,368.0,404.0,9.02,2.028
727,FC1=CC=C(C2=C(C3=C4C=CC=C3)[N+]5=C4C=CC=C5O2)C=C1,C(Cl)Cl,372.0,414.0,9.02,2.028
728,ClC1=CC=C(C2=C(C3=C4C=CC=C3)[N+]5=C4C=CC=C5O2)C=C1,C(Cl)Cl,370.0,410.0,9.02,2.028
729,COC1=CC(C2=C(C3=C4C=CC=C3)[N+]5=C4C=CC=C5O2)=CC=C1,C(Cl)Cl,376.0,455.0,9.02,2.028
730,COC1=CC=C(C2=C(C3=C4C=CC=C3)[N+]5=C4C=CC=C5O2)C=C1,C(Cl)Cl,405.0,458.0,9.02,2.028
731,C12=CC=CC3=[N+]1C(C4=C3C=CC=C4)=C(C5=CC=C(C=CC=C6)C6=C5)O2,C(Cl)Cl,410.0,481.0,9.02,2.028
732,C12=CC=CC3=[N+]1C(C4=C3C=CC=C4)=C(C5=C(C=CC=C6)C6=CC7C5=CC=CC7)O2,C(Cl)Cl,411.0,487.0,9.02,2.028
733,CN(C)C1=CC=C(C2=C(C3=C4C=CC=C3)[N+]5=C4C=CC=C5O2)C=C1,C(Cl)Cl,506.0,555.0,9.02,2.028
734,C12=CC=CC3=[N+]1C(C4=C3C=CC=C4)=C(C5=CC=C(C=C6)C7C5=CC=C8C7C6=CC=C8)O2,C(Cl)Cl,485.0,588.0,9.02,2.028
735,O=C(C1=C2C(C3=CC(NCC=C)=C24)=C(C(N(CC=C)C3=O)=O)C=C1)N(CC=C)C4=O,CC1=CC=CC=C1,513.0,551.0,2.43,2.241
736,O=C(C1=C2C(C3=CC(NCC=C)=C24)=C(C(N(CC=C)C3=O)=O)C(NC=C)=C1)N(CC=C)C4=O,CC1=CC=CC=C1,601.0,632.0,2.43,2.241
737,O=P(C1=CC=CC2=CC=CC3=C12)(C4=CC=CC=C4)C5=C6C3=CC=CC6=CC=C5,C(Cl)Cl,346.0,446.0,9.02,2.028
738,O=P(C1=CC=CC2=CC=CC3=C12)(OCC)C4=C5C3=CC=CC5=CC=C4,C(Cl)Cl,346.0,442.0,9.02,2.028
739,O=P(C1=CC=CC2=CC=CC3=C12)(OC4=C(C)C=C(C)C=C4C)C5=C6C3=CC=CC6=CC=C5,C(Cl)Cl,351.0,442.0,9.02,2.028
740,O=[N+](C1=CC=CC=C1COC2=C(/C=N/N=C/C3=C(OCC4=CC=CC=C4[N+]([O-])=O)C=C(OC)C=C3)C=CC(OC)=C2)[O-],C1CCOC1,356.0,521.0,7.47,1.977
741,O=[N+](C1=CC=CC=C1COC2=C(/C=N/N=C/C3=C(OCC4=CC=CC=C4[N+]([O-])=O)C=CC=C3)C=CC=C2)[O-],C1CCOC1,343.0,541.0,7.47,1.977
742,ClC1=CC(/C=N/N=C/C2=C(OCC3=CC=CC=C3[N+]([O-])=O)C=CC(Cl)=C2)=C(OCC4=CC=CC=C4[N+]([O-])=O)C=C1,C1CCOC1,355.0,566.0,7.47,1.977
743,O=C(C1=CC=CC=C1)COC2=C(/C=N/N=C/C3=C(OCC(C4=CC=CC=C4)=O)C=C(OC)C=C3)C=CC(OC)=C2,C1CCOC1,356.0,522.0,7.47,1.977
744,O=C(C1=CC=CC=C1)COC2=C(/C=N/N=C/C3=C(OCC(C4=CC=CC=C4)=O)C=CC=C3)C=CC=C2,C1CCOC1,344.0,540.0,7.47,1.977
745,O=C(C1=CC=CC=C1)COC2=C(/C=N/N=C/C3=C(OCC(C4=CC=CC=C4)=O)C=CC(Cl)=C3)C=C(Cl)C=C2,C1CCOC1,355.0,568.0,7.47,1.977
746,O=C(O1)C=C(C2=C1C=C(OC)C=C2)COC3=C(/C=N/N=C/C4=C(OCC(C5=C6C=C(OC)C=C5)=CC(O6)=O)C=C(OC)C=C4)C=CC(OC)=C3,C1CCOC1,321.0,445.0,7.47,1.977
747,O=C(O1)C=C(COC(C=CC=C2)=C2/C=N/N=C/C3=C(OCC(C4=C5C=C(OC)C=C4)=CC(O5)=O)C=CC=C3)C6=C1C=C(OC)C=C6,C1CCOC1,319.0,443.0,7.47,1.977
748,ClC1=CC(/C=N/N=C/C2=C(OCC(C3=C4C=C(OC)C=C3)=CC(O4)=O)C=CC(Cl)=C2)=C(OCC(C5=C6C=C(OC)C=C5)=CC(O6)=O)C=C1,C1CCOC1,326.0,431.0,7.47,1.977
749,OC1=C(/C=N/N=C/C2=C(O)C=C(OC)C=C2)C=CC(OC)=C1,C1CCOC1,368.0,526.0,7.47,1.977
750,OC1=C(/C=N/N=C/C2=C(O)C=CC=C2)C=CC=C1,C1CCOC1,357.0,545.0,7.47,1.977
751,OC1=C(/C=N/N=C/C2=C(O)C=CC(Cl)=C2)C=C(Cl)C=C1,C1CCOC1,367.0,573.0,7.47,1.977
752,C1(C2=CC=CC=C2)=CC(C3=CC=CC=C3)=CC(C4=CC=CC=C4)=[O+]1,CCO,417.0,465.0,25.0,1.852
753,NC(C=C1)=CC=C1C2=CC(C3=CC=CC=C3)=CC(C4=CC=C(N)C=C4)=[O+]2,CCO,590.0,670.0,25.0,1.852
754,NC(C=C1)=CC=C1C2=CC(C3=C(OC)C=CC=C3)=CC(C4=CC=C(N)C=C4)=[O+]2,CCO,582.0,664.0,25.0,1.852
755,NC(C=C1)=CC(C2)=C1C3=C2C(C4=CC=CC=C4)=C5C(C6=CC=C(N)C=C6C5)=[O+]3,CCO,598.0,656.0,25.0,1.852
756,NC(C=C1)=CC(C2)=C1C3=C2C(C4=C(OC)C=CC=C4)=C5C(C6=CC=C(N)C=C6C5)=[O+]3,CCO,595.0,653.0,25.0,1.852
757,NC(C=C1)=CC(C2)=C1C3=C2C(C4=C(O)C=CC=C4)=C5C(C6=CC=C(N)C=C6C5)=[O+]3,CCO,584.0,647.0,25.0,1.852
758,NC(C=C1)=CC(C2)=C1C3=C2C(C(C=C4)=CC=C4N(C)C)=C5C(C6=CC=C(N)C=C6C5)=[O+]3,CCO,578.0,640.0,25.0,1.852
759,NC(C=C1)=CC(C2)=C1C3=C2C(C(C(F)=C4F)=C(F)C(F)=C4F)=C5C(C6=CC=C(N)C=C6C5)=[O+]3,CCO,546.0,601.0,25.0,1.852
760,COC(C=CC=C1)=C1C2=C3C(C4=CC=C(N(CC)CC)C=C4C3)=[O+]C5=C2CC6=C5C=CC(N(CC)CC)=C6,CCO,630.0,680.0,25.0,1.852
761,NC(C=C1)=CC2=C1C3=C(CCC2)C(C4=CC=CC=C4)=C5C(C(C=CC(N)=C6)=C6CCC5)=[O+]3,CCO,599.0,665.0,25.0,1.852
762,COC(C=CC=C1)=C1C2=C3C(C(C=CC(N)=C4)=C4CCC3)=[O+]C5=C2CCCC6=C5C=CC(N)=C6,CCO,597.0,658.0,25.0,1.852
763,NC(C=C1)=CC2=C1C3=C(CCC2)C(C4=C(C(O)=O)C=CC=C4)=C5C(C(C=CC(N)=C6)=C6CCC5)=[O+]3,CCO,566.0,641.0,25.0,1.852
764,CN(C)C(C=C1)=CC2=C1C3=C(CCC2)C(C4=C(C(O)=O)C=CC=C4)=C5C(C(C=CC(N(C)C)=C6)=C6CCC5)=[O+]3,CCO,592.0,668.0,25.0,1.852
765,CC(NC1=CC2=C(C=C1)C3=[O+]C4=C(CCCC5=C4C=CC(NC(C)=O)=C5)C(C6=CC=CC=C6)=C3CCC2)=O,CCO,509.0,587.0,25.0,1.852
766,C1(C2=CC=CC=C2)=NC=C3N1C(C4=CC=CC=C4)=CC=C3,C(Cl)Cl,337.0,473.0,9.02,2.028
767,COC(C=C1)=CC=C1C2=CC=CC3=CN=C(C4=CC=CC=C4)N32,C(Cl)Cl,332.0,468.0,9.02,2.028
768,CC(C=C1)=CC=C1C2=CC=CC3=CN=C(C4=CC=CC=C4)N32,C(Cl)Cl,341.0,470.0,9.02,2.028
769,FC(C=C1)=CC=C1C2=CC=CC3=CN=C(C4=CC=CC=C4)N32,C(Cl)Cl,336.0,469.0,9.02,2.028
770,ClC(C=C1)=CC=C1C2=CC=CC3=CN=C(C4=CC=CC=C4)N32,C(Cl)Cl,338.0,478.0,9.02,2.028
771,O=C(C)C(C=C1)=CC=C1C2=CC=CC3=CN=C(C4=CC=CC=C4)N32,C(Cl)Cl,358.0,506.0,9.02,2.028
772,COC(C=C1)=CC=C1C2=NC=C3N2C(C4=CC=CC=C4)=CC=C3,C(Cl)Cl,341.0,484.0,9.02,2.028
773,CC(C)(C)C(C=C1)=CC=C1C2=NC=C3N2C(C4=CC=CC=C4)=CC=C3,C(Cl)Cl,339.0,479.0,9.02,2.028
774,N#CC(C=C1)=CC=C1C2=NC=C3N2C(C4=CC=CC=C4)=CC=C3,C(Cl)Cl,331.0,457.0,9.02,2.028
775,COC(C=C1)=CC=C1C2=CC=CC3=CN=C(C4=CC=C(C#N)C=C4)N32,C(Cl)Cl,329.0,447.0,9.02,2.028
776,CC(C(C=C1)=CC=C1C2=CC=CC3=CN=C(C4=CC=C(OC)C=C4)N32)=O,C(Cl)Cl,366.0,537.0,9.02,2.028
777,CC(C=C1)=CC=C1C2=NC=C3N2C4=C(C=CC=C4)C=C3,C(Cl)Cl,324.0,424.0,9.02,2.028
778,CC(C=CC=C1)=C1C2=NC=C3N2C4=C(C=CC=C4)C=C3,C(Cl)Cl,325.0,425.0,9.02,2.028
779,C1(N23)=CC=CC2=CN=C3C4=C1C=CC=C4,CO,421.0,464.0,33.6,1.764
780,C1(C2=CC=CC=C2)=CC3=C(C4=NC=C5N4C3=CC=C5)C=C1,CO,430.0,475.0,33.6,1.764
781,CC(C)(C)C1=CC2=C(C3=NC=C4N3C2=CC=C4)C=C1,CO,424.0,469.0,33.6,1.764
782,C1(C=C(OCC2=CC=CC=C2)C=C3)=C3C4=NC=C5N4C1=CC=C5,CO,438.0,486.0,33.6,1.764
783,OCCOC1=CC2=C(C3=NC=C4N3C2=CC=C4)C=C1,CO,438.0,489.0,33.6,1.764
784,CN(C)C1=CC2=C(C3=NC=C4N3C2=CC=C4)C=C1,CO,469.0,552.0,33.6,1.764
785,FC1=CC2=C(C3=NC=C4N3C2=CC=C4)C=C1,CO,430.0,476.0,33.6,1.764
786,ClC1=CC2=C(C3=NC=C4N3C2=CC=C4)C=C1,CO,428.0,473.0,33.6,1.764
787,O=C(C1=CC2=C(C3=NC=C4N3C2=CC=C4)C=C1)OC,CO,420.0,461.0,33.6,1.764
788,N#CC1=CC2=C(C3=NC=C4N3C2=CC=C4)C=C1,CO,450.0,463.0,33.6,1.764
789,COC1=C(OC)C2=C(C3=NC=C4N3C2=CC=C4)C=C1OC,CO,420.0,471.0,33.6,1.764
790,FC1=C(F)C2=C(C3=NC=C4N3C2=CC=C4)C(F)=C1F,CO,450.0,467.0,33.6,1.764
791,COC1=CC=CC2=C1C3=NC=C4N3C2=CC=C4,CO,438.0,480.0,33.6,1.764
792,C1(C=CC=C2)=C2C=CC3=C1C4=NC=C5N4C3=CC=C5,CO,469.0,487.0,33.6,1.764
793,C12=C(C3=NC=C4N3C2=CC=C4)OC=C1,CO,413.0,480.0,33.6,1.764
794,C12=C(C3=NC=C4N3C2=CC=C4)SC=C1,CO,420.0,478.0,33.6,1.764
795,CC1=CC2=CC=CC3=CN=C1N32,CO,411.0,450.0,33.6,1.764
796,C1(C2=CC=CC=C2)=CC3=NC=C4N3C1=CC=C4,CO,450.0,506.0,33.6,1.764
797,C1(C=CC=C2)=C2C3=NC(C4=CC=CC=C4)=C5N3C1=CC=C5,CO,469.0,512.0,33.6,1.764
798,N#CC(C=C1)=CC=C1C2=C3N4C(C5=C(C=CC=C5)C4=CC=C3)=N2,CO,469.0,498.0,33.6,1.764
799,COC(C=C1)=CC=C1C2=C3N4C(C5=C(C=CC=C5)C4=CC=C3)=N2,CO,469.0,553.0,33.6,1.764
800,C1(C=CC=C2)=C2C3=NC(C4=CC=CS4)=C5N3C1=CC=C5,CO,469.0,538.0,33.6,1.764
801,C1(C=C(OCC2=CC=CC=C2)C=C3)=C3C4=NC(C5=CC=CC=C5)=C6N4C1=CC=C6,CO,469.0,533.0,33.6,1.764
802,COC1=CC=C(C=C1)C2=C3N4C(C5=C(C=C(OCC6=CC=CC=C6)C=C5)C4=CC=C3)=N2,CO,469.0,555.0,33.6,1.764
803,CCCN(CCC)C1=CC=C(C=C1)C2=C3N4C(C5=C(C=C(OCC6=CC=CC=C6)C=C5)C4=CC=C3)=N2,CO,339.0,620.0,33.6,1.764
804,C1(C=C(OCC2=CC=CC=C2)C=C3)=C3C4=NC(C5=CC=CS5)=C6N4C1=CC=C6,CO,469.0,557.0,33.6,1.764
805,CN(C)C(C=C1)=CC2=C1C3=NC(C4=CC=CC=C4)=C5N3C2=CC=C5,CO,469.0,579.0,33.6,1.764
806,FC(C=C1)=CC2=C1C3=NC(C4=CC=C(OC)C=C4)=C5N3C2=CC=C5,CO,469.0,550.0,33.6,1.764
807,COC(C(OC)=C1)=C(OC)C2=C1C3=NC(C4=CC=CC=C4)=C5N3C2=CC=C5,CO,469.0,507.0,33.6,1.764
808,COC(C(OC)=C1)=C(OC)C2=C1C3=NC(C4=CC=C(C#N)C=C4)=C5N3C2=CC=C5,CO,469.0,497.0,33.6,1.764
809,COC(C(OC)=C1)=C(OC)C2=C1C3=NC(C4=CC=C(OC)C=C4)=C5N3C2=CC=C5,CO,469.0,526.0,33.6,1.764
810,CC1=CC2=CC=CC3=C(C4=CC=CC=C4)N=C1N32,CO,450.0,490.0,33.6,1.764
811,CC1=CC2=CC=C(C3=CC=CC=C3)C4=C(C5=CC=CC=C5)N=C1N42,CO,468.0,529.0,33.6,1.764
812,CC(C=C1)=CC=C1C2=C3N4C(C(C=CC=C5)=C5C4=CC=C3)=N2,CO,484.0,524.0,33.6,1.764
813,C12=C(C=CC=C2)C3=[N+](CC4=CC=CC=C4)C=C5N3C1=CC=C5,CO,398.0,458.0,33.6,1.764
814,O=C(OC)C1=CC2=C(C=C1)C3=[N+](CC4=CC=CC=C4)C=C5N3C2=CC=C5,CO,399.0,437.0,33.6,1.764
815,COC1=CC2=C(C(OC)=C1OC)C3=CC=CC4=C[N+](CC5=CC=CC=C5)=C2N43,CO,399.0,503.0,33.6,1.764
816,OC(C1=CC2=C(C=C1)C3=NC=C4N3C2=CC=C4)=O,CO,420.0,462.0,33.6,1.764
817,O=C(OCCCCCCO)C1=CC2=C(C=C1)C3=NC=C4N3C2=CC=C4,CO,420.0,464.0,33.6,1.764
818,OCC1=CC2=C(C=C1)C3=NC=C4N3C2=CC=C4,CO,423.0,468.0,33.6,1.764
819,[N-]=[N+]=NCC1=CC2=C(C=C1)C3=NC=C4N3C2=CC=C4,CO,423.0,468.0,33.6,1.764
820,[NH3+]CC1=CC2=C(C=C1)C3=NC=C4N3C2=CC=C4,CO,424.0,467.0,33.6,1.764
821,C1(C2=NC=C3N2C=CC=C3)=CC=CC=C1,CO,317.0,461.0,33.6,1.764
822,C1(C2=NC(C3=CC=CC=C3)=C4N2C=CC=C4)=CC=CC=C1,CO,308.0,454.0,33.6,1.764
823,CN(C)C1=CC=C(C(C2=C(C)C=CC=C2)=C(C=C/3)C(P4(C5=CC=CC=C5)=O)=CC3=[N+]6CCCC\6)C4=C1,O,703.0,730.0,80.36,1.777
824,CN(C)C1=CC=C(C(C2=C(CC)C=CC=C2)=C(C=C/3)C(P4(C5=CC=CC=C5)=O)=CC3=[N+]6CCCC\6)C4=C1,O,703.0,729.0,80.36,1.777
825,CN(C)C1=CC=C(C(C2=C(C(F)(F)F)C=CC=C2)=C(C=C/3)C(P4(C5=CC=CC=C5)=O)=CC3=[N+]6CCCC\6)C4=C1,O,713.0,741.0,80.36,1.777
826,CN(C)C1=CC=C(C(C2=C(OC)C=CC=C2)=C(C=C/3)C(P4(C5=CC=CC=C5)=O)=CC3=[N+]6CCCC\6)C4=C1,O,706.0,733.0,80.36,1.777
827,CN(C)C1=CC=C(C(C2=C(OC)C=CC=C2OC)=C(C=C/3)C(P4(C5=CC=CC=C5)=O)=CC3=[N+]6CCCC\6)C4=C1,O,706.0,737.0,80.36,1.777
828,C/[N+](C)=C1C=CC(C2=C\1)=C(C3=CC=CC=C3)C4=CC=C(N(C)C)C=C4P2(C5=CC=CC=C5)=O,O,698.0,726.0,80.36,1.777
829,C/[N+](C)=C1C=CC(C2=C\1)=C(C3=C(OC)C=CC=C3)C4=CC=C(N(C)C)C=C4P2(C5=CC=CC=C5)=O,O,701.0,731.0,80.36,1.777
830,C/[N+](C)=C1C=CC(C2=C\1)=C(C3=C(OC)C=CC=C3OC)C4=CC=C(N(C)C)C=C4P2(C5=CC=CC=C5)=O,O,703.0,735.0,80.36,1.777
831,C/[N+](C)=C1C=CC(C2=C\1)=C(C3=C(CC)C=CC=C3)C4=CC=C(N(C)C)C=C4P2(C5=CC=CC=C5)=O,O,699.0,724.0,80.36,1.777
832,C/[N+](C)=C1C=CC(C2=C\1)=C(C3=C(C)C=CC=C3C)C4=CC=C(N(C)C)C=C4P2(C5=CC=CC=C5)=O,O,700.0,735.0,80.36,1.777
833,C/[N+](C)=C1C=CC(C2=C\1)=C(C3=C(C)C=C(C)C=C3C)C4=CC=C(N(C)C)C=C4P2(C5=CC=CC=C5)=O,O,700.0,733.0,80.36,1.777
834,C/[N+](C)=C1C=CC(C2=C\1)=C(C3=C(C)C=CC=C3)C4=CC=C(N(C)C)C=C4P2(C(C)(C)C)=O,O,693.0,719.0,80.36,1.777
835,C/[N+](C)=C1C=CC(C2=C\1)=C(C3=C(OC)C=CC=C3OC)C4=CC=C(N(C)C)C=C4P2(C(C)(C)C)=O,O,697.0,720.0,80.36,1.777
836,C/[N+](C)=C1C=CC(C2=C\1)=C(C3=C(C)C=CC=C3)C4=CC=C(N(C)C)C=C4P2(C5=CC=CC=C5)=O,O,699.0,725.0,80.36,1.777
837,O=P(C1=CC(N2CCC2)=CC=C1C(C3=C(C)C=CC=C3)=C4C=C/5)(C6=CC=CC=C6)C4=CC5=[N+]7CCC\7,O,699.0,726.0,80.36,1.777
838,O=P(C1=CC(N2CCCC2)=CC=C1C(C3=C(C)C=CC=C3)=C4C=C/5)(C6=CC=CC=C6)C4=CC5=[N+]7CCCC\7,O,708.0,729.0,80.36,1.777
839,C/[N+](C)=C1C=CC(C2=C\1)=C(C3=C(C(F)(F)F)C=CC=C3)C4=CC=C(N(C)C)C=C4P2(C5=CC=CC=C5)=O,O,709.0,738.0,80.36,1.777
840,O=P(C1=CC(N2CCC2)=CC=C1C(C3=C(C(F)(F)F)C=CC=C3)=C4C=C/5)(C6=CC=CC=C6)C4=CC5=[N+]7CCC\7,O,710.0,735.0,80.36,1.777
841,O=P(C1=CC(N2CCCC2)=CC=C1C(C3=C(C(F)(F)F)C=CC=C3)=C4C=C/5)(C6=CC=CC=C6)C4=CC5=[N+]7CCCC\7,O,718.0,744.0,80.36,1.777
842,CC[N+]1=C(C(C)(C)C2=C1C=CC=C2)/C=C/C(CCC3)=C4C3=C(/C=C5N(CC)C(C=CC=C6)=C6C/5(C)C)C(C=CC(N(CC)CC)=C7)=C7O4,C(Cl)Cl,720.0,740.0,9.02,2.028
843,CC[N+]1=C(C(C)(C)C2=C1C=CC=C2)/C=C/C(CCC3)=C4C3=C(/C=C5N(CC)C(C=CC=C6)=C6C/5(C)C)C(C=C(C)C(NCC)=C7)=C7O4,C(Cl)Cl,710.0,732.0,9.02,2.028
844,CC[N+]1=C(C(C)(C)C2=C1C=CC=C2)/C=C/C(CCC3)=C4C3=C(/C=C5N(CC)C(C=CC=C6)=C6C/5(C)C)C(C=CC(NCC)=C7)=C7O4,C(Cl)Cl,712.0,735.0,9.02,2.028
845,CC[N+]1=C(C(C)(C)C2=C1C=CC=C2)/C=C/C(CCC3)=C4C3=C(/C=C5N(CC)C(C=CC=C6)=C6C/5(C)C)C(C=C7C8=C9CCCN8CCC7)=C9O4,C(Cl)Cl,724.0,747.0,9.02,2.028
846,CC[N+]1=C(C(C)(C)C2=C1C=CC=C2)/C=C/C(CCC3)=C4C3=C(/C=C5N(CC)C(C=CC=C6)=C6C/5(C)C)C(C=CC(O)=C7)=C7O4,C(Cl)Cl,714.0,734.0,9.02,2.028
847,N#C/C(C1=CC=C(OC)C=C1)=C\C2=CC=C(N(C3=CC=CC=C3)C4=CC=CC=C4)C=C2,C1CCOC1,403.0,492.0,7.47,1.977
848,N#C/C(C1=CC=C(OC)C=C1)=C\C2=CC=C(N(C3=CC=CC=C3)C4=CC=C(/C=C(C#N)/C5=CC=C(OC)C=C5)C=C4)C=C2,C1CCOC1,425.0,504.0,7.47,1.977
849,N#C/C(C1=CC=C(OC)C=C1)=C\C2=CC=C(N(C3=CC=C(/C=C(C#N)/C4=CC=C(OC)C=C4)C=C3)C5=CC=C(/C=C(C#N)/C6=CC=C(OC)C=C6)C=C5)C=C2,C1CCOC1,419.0,498.0,7.47,1.977
850,N#C/C(C1=CC=C(C#N)C=C1)=C\C2=CC=C(N(C3=CC=CC=C3)C4=CC=CC=C4)C=C2,C1CCOC1,420.0,539.0,7.47,1.977
851,N#C/C(C1=CC=C(C#N)C=C1)=C\C2=CC=C(N(C3=CC=C(/C=C(C#N)/C4=CC=C(C#N)C=C4)C=C3)C5=CC=CC=C5)C=C2,C1CCOC1,448.0,554.0,7.47,1.977
852,N#C/C(C1=CC=C(C#N)C=C1)=C\C2=CC=C(N(C3=CC=C(/C=C(C#N)/C4=CC=C(C#N)C=C4)C=C3)C5=CC=C(/C=C(C#N)/C6=CC=C(C#N)C=C6)C=C5)C=C2,C1CCOC1,440.0,546.0,7.47,1.977
